-0.0083,-0.0005,0.9543,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,-0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0640,0.0617,0.9275,0.0557,0.0612,1.8818,0.0000,0.0000,0.0000
-0.0083,-0.0005,0.9521,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9999,0.0036,-0.0148,-0.0038,0.9999,-0.0126,0.0148,0.0127,0.9998,0.0640,0.0618,0.9258,0.0557,0.0612,1.8779,0.0000,0.0000,0.0000
-0.0082,-0.0005,0.9492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9991,0.0053,-0.0422,-0.0069,0.9993,-0.0371,0.0419,0.0374,0.9984,0.0639,0.0617,0.9209,0.0557,0.0612,1.8701,0.0000,0.0000,0.0000
-0.0080,-0.0003,0.9466,-0.0004,-0.0004,-0.1115,-0.6337,0.7414,0.1873,0.9979,0.0048,-0.0646,-0.0086,0.9983,-0.0584,0.0642,0.0588,0.9962,0.0637,0.0615,0.9117,0.0557,0.0612,1.8583,0.0000,0.0000,-0.1962
-0.0075,0.0002,0.9451,0.0015,0.0013,-0.1469,-1.2313,1.3612,0.1199,0.9966,0.0025,-0.0829,-0.0089,0.9970,-0.0772,0.0825,0.0777,0.9936,0.0632,0.0611,0.8975,0.0557,0.0612,1.8426,0.0000,0.0000,-0.3924
-0.0065,0.0011,0.9450,0.0107,0.0094,-0.1277,-1.0754,1.1202,0.0297,0.9949,-0.0010,-0.1004,-0.0087,0.9953,-0.0965,0.1000,0.0969,0.9903,0.0622,0.0602,0.8780,0.0557,0.0612,1.8230,0.0000,0.0000,-0.5886
-0.0050,0.0025,0.9466,0.0266,0.0240,-0.0760,-0.9511,0.9143,-0.0452,0.9935,-0.0047,-0.1137,-0.0083,0.9935,-0.1136,0.1135,0.1138,0.9870,0.0607,0.0587,0.8529,0.0557,0.0612,1.7994,0.0000,0.0000,-0.7848
-0.0028,0.0046,0.9498,0.0487,0.0447,-0.0043,-0.9753,0.8754,-0.0853,0.9927,-0.0077,-0.1202,-0.0075,0.9921,-0.1250,0.1202,0.1250,0.9849,0.0585,0.0566,0.8221,0.0557,0.0612,1.7720,0.0000,0.0000,-0.9810
0.0001,0.0074,0.9548,0.0767,0.0718,0.0778,-0.8663,0.6702,-0.0927,0.9927,-0.0095,-0.1203,-0.0062,0.9915,-0.1301,0.1205,0.1299,0.9842,0.0556,0.0539,0.7858,0.0557,0.0612,1.7406,0.0000,0.0000,-1.1772
0.0036,0.0109,0.9614,0.1089,0.1041,0.1637,-0.5777,0.3315,-0.0820,0.9933,-0.0101,-0.1152,-0.0050,0.9914,-0.1305,0.1155,0.1302,0.9847,0.0521,0.0503,0.7439,0.0557,0.0612,1.7053,0.0000,0.0000,-1.3734
0.0077,0.0151,0.9693,0.1430,0.1396,0.2491,-0.2550,0.0079,-0.0620,0.9943,-0.0096,-0.1061,-0.0040,0.9919,-0.1272,0.1065,0.1269,0.9862,0.0480,0.0461,0.6967,0.0557,0.0612,1.6660,0.0000,0.0000,-1.5696
0.0124,0.0199,0.9781,0.1764,0.1756,0.3282,-0.0205,-0.2557,-0.0275,0.9955,-0.0083,-0.0940,-0.0031,0.9928,-0.1201,0.0944,0.1198,0.9883,0.0433,0.0413,0.6447,0.0557,0.0612,1.6228,0.0000,0.0000,-1.7658
0.0174,0.0252,0.9874,0.2067,0.2099,0.3952,0.1709,-0.4578,0.0061,0.9968,-0.0066,-0.0801,-0.0022,0.9939,-0.1099,0.0803,0.1097,0.9907,0.0383,0.0360,0.5884,0.0557,0.0612,1.5758,0.0000,0.0000,-1.9620
0.0227,0.0309,0.9964,0.2324,0.2406,0.4427,0.3602,-0.6114,0.0293,0.9979,-0.0050,-0.0649,-0.0014,0.9952,-0.0976,0.0651,0.0975,0.9931,0.0330,0.0303,0.5283,0.0557,0.0612,1.5247,0.0000,0.0000,-2.1582
0.0283,0.0369,1.0046,0.2523,0.2661,0.4633,0.5150,-0.7057,0.0393,0.9988,-0.0037,-0.0494,-0.0005,0.9964,-0.0842,0.0496,0.0842,0.9952,0.0275,0.0243,0.4652,0.0557,0.0612,1.4698,0.0000,0.0000,-2.3544
0.0339,0.0431,1.0115,0.2664,0.2857,0.4514,0.6163,-0.7619,0.0382,0.9994,-0.0029,-0.0341,0.0004,0.9975,-0.0710,0.0342,0.0709,0.9969,0.0218,0.0181,0.3995,0.0557,0.0612,1.4110,0.0000,0.0000,-2.5506
0.0395,0.0494,1.0166,0.2756,0.2999,0.4103,0.6738,-0.7800,0.0267,0.9998,-0.0025,-0.0193,0.0013,0.9982,-0.0594,0.0194,0.0593,0.9980,0.0162,0.0118,0.3316,0.0557,0.0612,1.3482,0.0000,0.0000,-2.7468
0.0452,0.0559,1.0197,0.2809,0.3096,0.3429,0.6653,-0.7713,0.0133,1.0000,-0.0025,-0.0073,0.0021,0.9987,-0.0502,0.0074,0.0502,0.9987,0.0105,0.0054,0.2617,0.0557,0.0612,1.2815,0.0000,0.0000,-2.9430
0.0509,0.0623,1.0207,0.2835,0.3161,0.2557,0.5800,-0.7410,0.0033,1.0000,-0.0028,-0.0014,0.0027,0.9991,-0.0413,0.0015,0.0413,0.9991,0.0048,-0.0011,0.1901,0.0557,0.0612,1.2108,0.0000,0.0000,-3.1392
0.0566,0.0689,1.0200,0.2842,0.3205,0.1554,0.4566,-0.6023,-0.0063,1.0000,-0.0030,0.0008,0.0030,0.9996,-0.0289,-0.0007,0.0289,0.9996,-0.0008,-0.0076,0.1163,0.0557,0.0612,1.1363,0.0000,0.0000,-3.3354
0.0622,0.0755,1.0179,0.2835,0.3239,0.0512,0.4492,-0.2932,-0.0157,1.0000,-0.0033,0.0042,0.0034,0.9999,-0.0121,-0.0042,0.0121,0.9999,-0.0065,-0.0142,0.0399,0.0557,0.0612,1.0578,0.0000,0.0000,-3.5316
0.0678,0.0820,1.0115,0.2825,0.3270,-0.0396,0.6213,-0.1117,-0.0136,0.9999,-0.0042,0.0136,0.0039,0.9999,0.0158,-0.0136,-0.0157,0.9998,-0.0124,-0.0198,0.0450,0.0554,0.0622,1.0565,0.0000,0.0000,-3.7278
0.0733,0.0885,1.0019,0.2813,0.3296,-0.1050,0.8391,-0.1738,-0.0133,0.9998,-0.0057,0.0206,0.0050,0.9994,0.0356,-0.0208,-0.0355,0.9992,-0.0186,-0.0245,0.1123,0.0548,0.0639,1.1142,0.0000,0.0000,-3.9240
0.0788,0.0948,0.9919,0.2811,0.3269,-0.4546,1.7207,-0.6115,-0.0257,0.9997,-0.0077,0.0249,0.0065,0.9988,0.0479,-0.0253,-0.0477,0.9985,-0.0246,-0.0291,0.1761,0.0542,0.0657,1.1680,-0.0299,0.0870,3.0826
0.0841,0.1009,0.9816,0.2775,0.3225,-0.4789,0.9894,-0.3582,-0.0613,0.9992,-0.0104,0.0376,0.0080,0.9981,0.0618,-0.0381,-0.0614,0.9974,-0.0306,-0.0335,0.2363,0.0536,0.0674,1.2179,-0.0299,0.0870,2.8864
0.0893,0.1067,0.9709,0.2727,0.3148,-0.4985,0.6164,-0.2195,-0.0865,0.9984,-0.0126,0.0547,0.0085,0.9973,0.0735,-0.0554,-0.0729,0.9958,-0.0363,-0.0376,0.2930,0.0530,0.0692,1.2639,-0.0299,0.0870,2.6902
0.0943,0.1123,0.9600,0.2674,0.3053,-0.5173,0.6899,-0.6391,-0.1114,0.9974,-0.0132,0.0705,0.0076,0.9968,0.0798,-0.0713,-0.0791,0.9943,-0.0419,-0.0414,0.3459,0.0524,0.0709,1.3059,-0.0299,0.0870,2.4940
0.0990,0.1176,0.9490,0.2597,0.2931,-0.5343,0.5792,-0.8626,-0.0833,0.9962,-0.0123,0.0857,0.0051,0.9965,0.0837,-0.0864,-0.0830,0.9928,-0.0472,-0.0449,0.3951,0.0518,0.0726,1.3440,-0.0299,0.0870,2.2978
0.1033,0.1225,0.9381,0.2485,0.2785,-0.5460,0.3134,-0.7974,-0.0132,0.9948,-0.0104,0.1014,0.0015,0.9962,0.0876,-0.1019,-0.0870,0.9910,-0.0521,-0.0481,0.4401,0.0512,0.0744,1.3782,-0.0299,0.0870,2.1016
0.1072,0.1270,0.9275,0.2340,0.2623,-0.5502,0.1898,-0.7639,0.0607,0.9932,-0.0080,0.1158,-0.0026,0.9959,0.0909,-0.1161,-0.0906,0.9891,-0.0566,-0.0508,0.4810,0.0506,0.0761,1.4085,-0.0299,0.0870,1.9054
0.1105,0.1310,0.9175,0.2158,0.2447,-0.5453,0.1931,-0.7915,0.1154,0.9918,-0.0055,0.1273,-0.0064,0.9957,0.0927,-0.1273,-0.0927,0.9875,-0.0605,-0.0532,0.5173,0.0500,0.0779,1.4348,-0.0299,0.0870,1.7092
0.1132,0.1347,0.9084,0.1934,0.2253,-0.5290,0.1675,-0.7283,0.1406,0.9908,-0.0034,0.1356,-0.0093,0.9956,0.0930,-0.1353,-0.0934,0.9864,-0.0638,-0.0550,0.5488,0.0494,0.0796,1.4572,-0.0299,0.0870,1.5130
0.1152,0.1378,0.9003,0.1663,0.2039,-0.4989,0.0889,-0.5811,0.1345,0.9901,-0.0018,0.1407,-0.0114,0.9956,0.0927,-0.1402,-0.0934,0.9857,-0.0664,-0.0564,0.5754,0.0488,0.0813,1.4757,-0.0299,0.0870,1.3168
0.1165,0.1404,0.8936,0.1351,0.1808,-0.4561,0.0207,-0.4148,0.1094,0.9897,-0.0007,0.1431,-0.0126,0.9957,0.0920,-0.1425,-0.0928,0.9854,-0.0683,-0.0573,0.5967,0.0482,0.0831,1.4903,-0.0299,0.0870,1.1206
0.1169,0.1425,0.8883,0.1004,0.1566,-0.4015,-0.0116,-0.2576,0.0789,0.9897,0.0000,0.1430,-0.0131,0.9958,0.0905,-0.1424,-0.0915,0.9856,-0.0693,-0.0577,0.6126,0.0476,0.0848,1.5009,-0.0299,0.0870,0.9244
0.1166,0.1441,0.8847,0.0631,0.1314,-0.3366,-0.0373,-0.1228,0.0499,0.9901,0.0006,0.1400,-0.0131,0.9960,0.0884,-0.1394,-0.0893,0.9862,-0.0696,-0.0576,0.6230,0.0470,0.0866,1.5076,-0.0299,0.0870,0.7282
0.1155,0.1452,0.8827,0.0241,0.1057,-0.2634,-0.0721,0.0052,0.0277,0.9911,0.0012,0.1334,-0.0127,0.9962,0.0856,-0.1328,-0.0865,0.9874,-0.0691,-0.0569,0.6278,0.0464,0.0883,1.5104,-0.0299,0.0870,0.5320
0.1137,0.1458,0.8823,-0.0156,0.0798,-0.1840,-0.1108,0.1505,0.0144,0.9924,0.0018,0.1231,-0.0120,0.9965,0.0823,-0.1226,-0.0832,0.9890,-0.0679,-0.0558,0.6269,0.0458,0.0900,1.5093,-0.0299,0.0870,0.3358
0.1111,0.1459,0.8837,-0.0550,0.0543,-0.1004,-0.1441,0.3313,0.0083,0.9938,0.0021,0.1107,-0.0109,0.9968,0.0787,-0.1102,-0.0794,0.9907,-0.0659,-0.0541,0.6205,0.0452,0.0918,1.5042,-0.0299,0.0870,0.1396
0.1080,0.1456,0.8867,-0.0926,0.0295,-0.0153,-0.1689,0.5196,0.0061,0.9951,0.0022,0.0987,-0.0097,0.9971,0.0751,-0.0982,-0.0757,0.9923,-0.0634,-0.0521,0.6086,0.0446,0.0935,1.4952,-0.0299,0.0870,-0.0566
0.1043,0.1449,0.8911,-0.1268,0.0059,0.0681,-0.1905,0.6253,-0.0027,0.9961,0.0020,0.0884,-0.0083,0.9974,0.0717,-0.0880,-0.0722,0.9935,-0.0603,-0.0496,0.5912,0.0440,0.0953,1.4823,-0.0299,0.0870,-0.2528
0.1002,0.1437,0.8969,-0.1569,-0.0161,0.1474,-0.1876,0.6059,-0.0165,0.9967,0.0016,0.0807,-0.0071,0.9976,0.0684,-0.0804,-0.0687,0.9944,-0.0568,-0.0467,0.5686,0.0434,0.0970,1.4655,-0.0299,0.0870,-0.4490
0.0957,0.1423,0.9040,-0.1830,-0.0367,0.2222,-0.1745,0.5178,-0.0282,0.9972,0.0012,0.0746,-0.0061,0.9979,0.0649,-0.0744,-0.0652,0.9951,-0.0529,-0.0435,0.5407,0.0428,0.0987,1.4448,-0.0299,0.0870,-0.6452
0.0908,0.1405,0.9122,-0.2058,-0.0559,0.2921,-0.1689,0.3865,-0.0350,0.9976,0.0012,0.0692,-0.0054,0.9981,0.0611,-0.0690,-0.0614,0.9957,-0.0486,-0.0400,0.5079,0.0422,0.1005,1.4201,-0.0299,0.0870,-0.8414
0.0857,0.1384,0.9212,-0.2259,-0.0736,0.3550,-0.1748,0.3018,-0.0302,0.9980,0.0015,0.0639,-0.0052,0.9983,0.0573,-0.0637,-0.0575,0.9963,-0.0440,-0.0362,0.4703,0.0416,0.1022,1.3915,-0.0299,0.0870,-1.0376
0.0802,0.1361,0.9307,-0.2436,-0.0897,0.4079,-0.1918,0.2700,-0.0152,0.9983,0.0022,0.0584,-0.0053,0.9985,0.0537,-0.0582,-0.0540,0.9968,-0.0392,-0.0321,0.4283,0.0410,0.1040,1.3590,-0.0299,0.0870,-1.2338
0.0745,0.1335,0.9404,-0.2591,-0.1040,0.4486,-0.1942,0.2687,0.0041,0.9986,0.0030,0.0529,-0.0057,0.9987,0.0506,-0.0527,-0.0508,0.9973,-0.0341,-0.0278,0.3822,0.0404,0.1057,1.3225,-0.0299,0.0870,-1.4300
0.0687,0.1308,0.9499,-0.2724,-0.1165,0.4753,-0.1797,0.2750,0.0215,0.9988,0.0039,0.0480,-0.0062,0.9988,0.0477,-0.0478,-0.0479,0.9977,-0.0289,-0.0234,0.3323,0.0398,0.1074,1.2822,-0.0299,0.0870,-1.6262
0.0627,0.1279,0.9588,-0.2834,-0.1272,0.4844,-0.1593,0.2736,0.0337,0.9990,0.0047,0.0435,-0.0066,0.9990,0.0446,-0.0433,-0.0449,0.9981,-0.0235,-0.0187,0.2791,0.0392,0.1092,1.2379,-0.0299,0.0870,-1.8224
0.0566,0.1249,0.9669,-0.2921,-0.1362,0.4741,-0.1484,0.2463,0.0362,0.9993,0.0052,0.0374,-0.0067,0.9991,0.0410,-0.0371,-0.0412,0.9985,-0.0180,-0.0140,0.2227,0.0386,0.1109,1.1896,-0.0299,0.0870,-2.0186
0.0504,0.1218,0.9740,-0.2991,-0.1439,0.4474,-0.1523,0.2223,0.0301,0.9996,0.0053,0.0277,-0.0063,0.9993,0.0358,-0.0275,-0.0360,0.9990,-0.0124,-0.0091,0.1635,0.0380,0.1127,1.1375,-0.0299,0.0870,-2.2148
0.0442,0.1186,0.9802,-0.3047,-0.1502,0.4045,-0.1849,0.3089,0.0181,0.9998,0.0048,0.0172,-0.0054,0.9995,0.0309,-0.0170,-0.0310,0.9994,-0.0068,-0.0042,0.1012,0.0374,0.1144,1.0814,-0.0299,0.0870,-2.4110
0.0380,0.1154,0.9831,-0.3090,-0.1558,0.3548,-0.2623,0.4840,-0.0038,0.9999,0.0041,0.0118,-0.0045,0.9995,0.0300,-0.0116,-0.0301,0.9995,-0.0022,-0.0012,0.1008,0.0358,0.1142,1.0839,-0.0299,0.0870,-2.6072
0.0318,0.1121,0.9831,-0.3120,-0.1606,0.3097,-0.2496,0.5229,-0.0262,1.0000,0.0036,0.0048,-0.0037,0.9995,0.0310,-0.0047,-0.0310,0.9995,0.0013,0.0001,0.1567,0.0331,0.1122,1.1398,-0.0299,0.0870,-2.8034
0.0256,0.1088,0.9826,-0.3090,-0.1570,0.0221,-0.0258,0.1676,-0.0385,1.0000,0.0032,-0.0057,-0.0030,0.9996,0.0285,0.0058,-0.0285,0.9996,0.0049,0.0014,0.2092,0.0305,0.1103,1.1918,-0.1321,-0.0988,2.9922
0.0194,0.1054,0.9810,-0.3099,-0.1616,0.0020,0.0490,0.3487,-0.0290,0.9998,0.0028,-0.0190,-0.0023,0.9996,0.0297,0.0191,-0.0296,0.9994,0.0084,0.0029,0.2589,0.0278,0.1083,1.2399,-0.1321,-0.0988,2.7960
0.0134,0.1020,0.9779,-0.3095,-0.1662,-0.0272,-0.1261,0.5242,-0.0204,0.9995,0.0027,-0.0326,-0.0016,0.9995,0.0331,0.0327,-0.0331,0.9989,0.0118,0.0043,0.3061,0.0252,0.1063,1.2840,-0.1321,-0.0988,2.5998
0.0074,0.0985,0.9733,-0.3076,-0.1695,-0.0818,0.0556,0.6682,-0.0169,0.9989,0.0029,-0.0458,-0.0014,0.9994,0.0339,0.0459,-0.0338,0.9984,0.0152,0.0059,0.3509,0.0226,0.1043,1.3243,-0.1321,-0.0988,2.4036
0.0015,0.0949,0.9672,-0.3040,-0.1724,-0.1524,0.1713,0.6805,-0.0110,0.9983,0.0035,-0.0583,-0.0017,0.9995,0.0319,0.0584,-0.0317,0.9978,0.0184,0.0075,0.3934,0.0199,0.1023,1.3606,-0.1321,-0.0988,2.2074
-0.0041,0.0912,0.9597,-0.2989,-0.1757,-0.2294,0.0397,0.6613,0.0093,0.9976,0.0046,-0.0694,-0.0026,0.9996,0.0283,0.0695,-0.0280,0.9972,0.0214,0.0091,0.4332,0.0173,0.1004,1.3929,-0.1321,-0.0988,2.0112
-0.0096,0.0875,0.9512,-0.2922,-0.1791,-0.3058,-0.1040,0.6252,0.0371,0.9969,0.0058,-0.0785,-0.0040,0.9997,0.0230,0.0786,-0.0226,0.9967,0.0242,0.0109,0.4702,0.0146,0.0984,1.4214,-0.1321,-0.0988,1.8150
-0.0147,0.0837,0.9421,-0.2837,-0.1824,-0.3746,-0.1809,0.5551,0.0633,0.9964,0.0069,-0.0848,-0.0057,0.9999,0.0148,0.0849,-0.0142,0.9963,0.0267,0.0127,0.5038,0.0120,0.0964,1.4459,-0.1321,-0.0988,1.6188
-0.0195,0.0799,0.9332,-0.2726,-0.1857,-0.4273,-0.2672,0.4532,0.0815,0.9961,0.0075,-0.0880,-0.0072,1.0000,0.0045,0.0880,-0.0038,0.9961,0.0289,0.0145,0.5333,0.0094,0.0944,1.4665,-0.1321,-0.0988,1.4226
-0.0239,0.0761,0.9248,-0.2581,-0.1889,-0.4511,-0.4117,0.3127,0.0882,0.9960,0.0076,-0.0891,-0.0082,0.9999,-0.0066,0.0890,0.0073,0.9960,0.0307,0.0164,0.5584,0.0067,0.0925,1.4832,-0.1321,-0.0988,1.2264
-0.0279,0.0723,0.9172,-0.2401,-0.1910,-0.4470,-0.5178,0.1588,0.0765,0.9960,0.0071,-0.0891,-0.0087,0.9998,-0.0178,0.0890,0.0185,0.9959,0.0320,0.0182,0.5787,0.0041,0.0905,1.4959,-0.1321,-0.0988,1.0302
-0.0314,0.0687,0.9108,-0.2197,-0.1911,-0.4211,-0.5535,0.0510,0.0517,0.9961,0.0063,-0.0883,-0.0089,0.9995,-0.0289,0.0881,0.0296,0.9957,0.0328,0.0199,0.5940,0.0014,0.0885,1.5048,-0.1321,-0.0988,0.8340
